name,ring,quadrant,isNew,description
Generative Learning,Horizon 2,Quadrant 3,FALSE,"Generative learning is a theory that involves the active integration of new ideas with the learner's existing schemata. The main idea of generative learning is that, in order to learn with understanding, a learner has to construct meaning actively"
High altitude platforms (satellites),Horizon 2,Quadrant 4,FALSE,"(HAPS)  defined as ""a station on an object at an altitude of 20 to 50 km and at a specified, nominal, fixed point relative to the Earth"". Some applications are radiocommunication services, surveillance, real-time monitoring of a region, weather and environmental monitoring."
Holographic collaboration and Advance Display,Horizon 2,Quadrant 4,FALSE,Holography is the science and practice of making holograms. A hologram is a physical structure that uses light diffraction to make an image; the image can appear to be three-dimensional. This technologies uses holography science to help peoples or organizations to complete a task or achieve a goal.
Long range IoT,Horizon 2,Quadrant 2,FALSE,"The Internet of Things (IoT) requires wireless connectivity to poll data from a myriad of sensors and bring it back to data lakes for analysis. A key enabler is being able to do this across a wide area and at very low cost, recognising the many sensors only need small amounts of bandwidth. A new set of technologies is emerging to support this need, using innovative radio techniques."
User and entity behavior analytics,Horizon 2,Quadrant 2,FALSE,"User and entity behavior analytics, or UEBA, is a type of cyber security process that takes note of the normal conduct of users. In turn, they detect any anomalous behavior or instances when there are deviations from these “normal” patterns. For example, if a particular user regularly downloads 10 MB of files every day but suddenly downloads gigabytes of files, the system would be able to detect this anomaly and alert them immediately."
Advanced Authentication,Horizon 3,Quadrant 2,TRUE,"Cloud data protection (CDP), Tokenization, Big data encryption, Data access governance, Consent/data subject rights management, Data privacy management solutions, Data discovery and flow mapping, Data classification, Enterprise key management (EKM), Application-level encryption"
AR Spectacles,Horizon 3,Quadrant 2,FALSE,"An Augmented reality Spectacles headset is a specialized, head-mounted display device that provides a simulated visual environment through physical display optic lenses, allowing the user to see both a digital display and the world through the glasses."
Augmented Collective Intelligence,Horizon 3,Quadrant 2,FALSE,Human collective augmented with AI systems that aid in decision making process and continuously learn from their interaction with humans and environment?
Autonomous Vehicles,Horizon 3,Quadrant 2,FALSE,"Autonomous vehicles are specialized smart machines that have locomotion capability and can have a significant impact on the transportation sector. These are driverless vehicles which can be operated with the use of sensors, LiDAR, GPS and computer vision. It has automated control systems that use sensory input, artificial intelligence and GOS to identify appropriate navigable paths, obstacles and road signage and drive without human intervention."
Biocomputing,Horizon 3,Quadrant 2,TRUE,"The use of biologically derived molecules such as proteins or DNA to perform computing tasks.  Using engineered biochemical pathways and different sets of conditions as inputs, biocomputers produce for instance, changes in biomolecular shape, chemical constituents or electrical conductivity that can be measured as outputs. Whilst this approach has been discussed for quite a while, current focus tends to be on memory and storage rather than computing."
Cognitive Computing,Horizon 3,Quadrant 2,FALSE,"Involves self-learning systems that use data mining, pattern recognition and natural language processing to mimic the way the human brain works. The goal of cognitive computing is to create automated IT systems that are capable of solving problems without requiring human assistance."
Digital Supply Chain,Horizon 3,Quadrant 2,TRUE,"The digital supply chain is a new media term which encompasses the process of the delivery of digital media, be it music or video, by electronic means, from the point of origin (content provider) to destination (consumer). In much the same manner a physical medium must go through a “supply chain” process in order to mature into a consumable product, digital media must pass through various stages in processing to get to a point in which the consumer can enjoy the music or video on a computer or television set."
Edge / Fog Computing,Horizon 3,Quadrant 2,FALSE,"Edge computing and analytics is the notion of placing compute power in the end points of a network, or as close to the end point as possible. With computing power using wireless sensors and localised protocol to treat data where it is created, either to look for anomalies and only send signals of change back to the centralised node (Fog Computing), or to be acted upon by the device or machinery on which the processors have been installed. Edge computing is an essential part of creating closed systems that can act alone without human intervention. Fog computing Term created by Cisco that refers to extending cloud computing to the edge of an enterprise's network. Facilitates the operation of compute, storage, and networking services between end devices and cloud computing data centers."
Exoskeletons,Horizon 3,Quadrant 2,FALSE,"An exoskeleton, is the external skeleton that supports and protects a body. Mainly used to restore or improve people's ability to walk or to lift normal objects, exoskeletons are finding broader applications in industries such as construction and warehousing. Exoskeletons have also become much more sophisticated."
Federated Threat  Intelligence Hubs,Horizon 3,Techniques,FALSE,Cyber attackers seek to manage costs and keep the newest new attack methods in reserve for use against the most valuable targets.
Gesture/Human  Tracking,Horizon 3,Techniques,FALSE,Gesture recognition is a topic in computer science and language technology with the goal of interpreting human gestures via mathematical algorithms.
GPS denied Tracking,Horizon 3,Techniques,FALSE,ORI uses computer vision to look for features in the environment. AI creates a transparent pointcloud mesh of the site and matches the instantaneously generated pointcloud to a certain location.
Humanized Interfaces,Horizon 3,Techniques,FALSE,Emotional design and humanized copy to make an interaction with a computer feel as natural as possible.
Infrastructure-less People Tracking,Horizon 3,Techniques,FALSE,"(this is same as zero Infrastructure tracking). Knowing the location and movement of our workforce unlocks many safety and productivity benefits, especially on the front line. In many facilities, GPS is not reliable of accurate enough, and therefore new technologies are needed which are cheap and easy to install. The most attractive opportunity is for solutions which do not require any infrastructure, and only require some simple end user equipment – for example using inertial sensors, cameras, or wireless signal sensors."
Microsats,Horizon 3,Techniques,FALSE,"Satellite technology (both comms and remote sensing) is rapidly expanding due to the reducing size and cost of the space-borne element. Microsats offer the potential, for example, to deploy an entire constellation carrying bespoke sensors and enable brand new data sets to be collected and analysed."
Neuromorphic Computing,Horizon 3,Quadrant 3,FALSE,Is based on a classic silicon-based chip but attempts to create a “hardware neural net” mimicking the human brain. It is expected to be a very efficient machine learning/pattern recognition device expending significantly less power than its conventional chip counterparts. IBM announced their “True North” Chip in 2014 simulating over 1 million neurons.  Intel have created a self-learning neuromorphic test chip but with fewer neurons.
Persuasive Intelligence,Horizon 3,Techniques,FALSE,"Intelligent systems and environments, often using ambient intelligence, that are explicitly deployed to influence human behavior or attitude"
Quantum Computing,Horizon 3,Techniques,FALSE,"Quantum computing is focused on developing computer technology based on the principles of quantum theory, which explains the behavior of energy and material on the atomic and subatomic levels."
Quantum key distribution,Horizon 3,Quadrant 3,FALSE,Part of Quantum communications - Secure communication method to transfer the key securely.
Quantum Sensors,Horizon 3,Quadrant 3,FALSE,Measure the effect of the quantum state of another system on itself. The mere act of measurement influences the quantum state and alters the probability and uncertainty associated with its state during measurement.
Security Orchestration,Horizon 3,Quadrant 3,FALSE,"Security orchestration is a method of coordinating automated actions across a range of disparate security technologies. It enables a fast, effective security response to known incidents ."
Self Healing Machines,Horizon 3,Quadrant 3,FALSE,This class of machine will be able to repair itself under certain conditions analogous to the human body’s ability for repair.
Sensor Fusion,Horizon 3,Quadrant 3,FALSE,Software that intelligently combines data from several sensors for the purpose of improving application or system performance.
Smart PPE,Horizon 3,Techniques,FALSE,"Sensors added to Personal Protective Equipment (PPE) to augment and communicate the wearers safety. These may involve imbedded LED’s to improve visibility, gyros and accelerometers for man-down warnings, environmental sensors and backhaul comms to share any warnings from the collected data."
Smart Sensors,Horizon 3,Techniques,FALSE,"Are sensors that produce an electrical output when combined with interfacing electronic circuits. In other words it outputs a digital value from a physical, biological or chemical input"
Stand Off Audio Sensors,Horizon 3,Quadrant 4,FALSE,"Analysis of noise and vibration is becoming established across industry as way to understand the condition of machinery. Typically this requires sensors placed on or near the machine in question, implying cost and installation barriers. Stand off sensors allow the remote sensing of audio without permanent installation, opening up the potential for wide area condition monitoring with much lower cost."
Swarm Robots,Horizon 3,Quadrant 4,FALSE,"New approach to the coordination of multi-robot systems which consist of large numbers of mostly simple physical robots. It is supposed that a desired collective behavior emerges from the interaction between the robots and the interaction of robots with the environment. Study the design of robots, their physical body and their controlling behaviours. Robots coordinate amongst themselves with a belief that collective behavior would appear."
Topological Data Analysis (TDA),Horizon 3,Techniques,FALSE,Data analysis using techniques from topology. TDA techniques allow for more robust analysis of data in the presence of noise and sparsity in addition to lower risk of biasing vs. statistical data analysis techniques. Often TDA is used for data exploration and feature extraction preceding conventional machine learning.
Active Inference,Horizon 4,Techniques,FALSE,Active Inference is the process by which an agent uses generative models to come up with rules about how the world works. The agent then tests the predictions made using those rules against available data and either refines its model or takes action to reduce the misfit between prediction and observation.
Advanced technologies to Secure personal data,Horizon 4,Techniques,FALSE,"Advanced technologies to ensures that no unauthorized user has any access to personal data. If a device gets into unauthorized hands, the data is securely protected."
Algebraic Geometry of Statistical Learning Methods,Horizon 4,Quadrant 2,FALSE,An effort in pure mathematics to develop a rigorous framework for data dependent AI models analogous to frameworks seen in theoretical physics. Once this rigorous framework is developed it would be possible to develop AI with zero need for data.
Brain-Computer Interfaces  (BCI),Horizon 4,Quadrant 2,FALSE,"BCI or mind-machine interface uses a direct communication pathway between the brain and an external device as a way to control machines or computers with thoughts and/or to use computers to augment, assist or repair human cognitive or sensory-motor dysfunctions."
Complex Manipulation,Horizon 4,Techniques,FALSE,"Dynamic prehensile manipulation, or complex manipulation, is a technology field that looks beyond typical robotic pick-and-place capability to enlist other manipulation primitives, such as inter-digit-movement, tipping, sliding, and rolling. While these higher order manipulation techniques present challenges, as they are more sensitive to environmental uncertainties such as geometry and mass, progress in this area will pave the way for robots to offer a significantly wider breadth of solutions in fine motor skill applications, for example, dismantling a compressor, or autonomously cleaning a vehicle."
Genetic engineering – biological/bio technology,Horizon 4,Techniques,FALSE,The deliberate modification of the characteristics of an organism by manipulating its genetic material.
Homomorphic encryption,Horizon 4,Techniques,FALSE,"Homomorphic encryption is a form of encryption that allows computation on ciphertexts, generating an encrypted result which, when decrypted, matches the result of the operations as if they had been performed on the plaintext. Homomorphic encryption can be used for privacy-preserving outsourced storage, computation, and sharing of encrypted algorithms."
Meta Materials,Horizon 4,Techniques,FALSE,"Different material for computing/memory. New materials to succeed highly successful semiconductor transistors. For example, scientists have hit on a very promising post-transistor technology: multiferroics, which use magnetic spin states instead of electron charge to store binary data. They have shown that these MESO (magneto-electric spin-orbit) devices can greatly improve energy efficiency and pack more logic devices onto a chip."
Micro / Nanobots,Horizon 4,Techniques,FALSE,"Machine or robot built on the micro/nanoscale, still in the research-and-development stage"
Molecular Computing,Horizon 4,Techniques,FALSE,"Uses synthetic molecules to encode data sequences and is in the very early stages of research. In 2017, a team of French scientists succeeded in encoding and reading the word “sequence” using a synthetic polymer sequence proving that it is possible to store information in polymer molecules"
Neuro Business,Horizon 4,Quadrant 3,FALSE,is the capability of applying neuroscience insights to improve outcomes in customer and other business decision situations. It leverages developments in wearable technology to get data on human emotions and sentiments which are then analysed.
Neuro-phasic Nets,Horizon 4,Techniques,FALSE,The 4th generation of neural networks following Deep Learning (2nd generation) and spiking neural networks on neuromorphic hardware (3rd generation). Neurophasic nets calculate mathematically and physically in a way identical to human brains and as such are anticipated to be strong AI.
Proof Generating Quantum Systems,Horizon 4,Quadrant 4,FALSE,"Quantum architectures capable of finding general solutions to pure math problems (in contrast to normal quantum algorithms which find specific solutions to applied computational problems); these systems are able to do the brain work of pure mathematicians—which would revolutionize the field of pure mathematics, astronomically accelerating the pace of innovation in the whole of STEM. A recent effort is attempting to solve the Riemann Hypotheses by mapping the prime distribution to a quantum energy state."
Secure micro transaction fabric,Horizon 4,Quadrant 4,FALSE,"Secure small value financial transactions that happen within digital apps.  The simplest form of a microtransaction within an app is through a store in which users can purchase a virtual good by sharing their credit card information. In many cases, this transaction is a purchase of virtual currency (gold coins or something like that) which can then be used to acquire goods or premium content."
Self Forming Robots,Horizon 4,Quadrant 4,FALSE,"Self-reconfiguring modular robots, which span a broad size form factor, and can autonomously morph to different shapes for different uses; for example, morph from a locomotion format to a manipulation format."
Soft Robotics,Horizon 4,Quadrant 4,FALSE,"Soft Robotics are robots that are constructed from soft materials, with a design concept derived from natural organisms.  The field covers the span of soft coverings on rigid robotic materials, to the development of synthetic skins and muscle, both with the intent to increase flexibility and environment adaptability."
Synthetic colleagues,Horizon 4,Quadrant 4,FALSE,"A technology set based around VR, AR, avatars, natural language processing, speech synthesis, motion capture and others is opening up the potential for a new world of workplace communication. It is rapidly becoming possible to create an artificial version of a real colleague whose appearance, speech and mannerisms closely match the real person. These could potentially allow rich collaboration between staff in whole new virtual environments e.g. meeting rooms, subsea situations, offshore facilities etc."
Ultraspectral Remote Sensing,Horizon 4,Techniques,FALSE,"Remote sensing si defined as the measurement of object properties on the earth's surface using data acquired from aircraft and satelites using signals like optica, accoustical ior microwave.   Is therefore and attempt to measure something at a distance, rather than in situ. 'Ultraspectral' could be reserved for interferometer type imaging sensors with a very fine spectral resolution. These sensors often have (but not necessarily) a low spatial resolution of several pixels only, a restriction imposed by the high data rate."
Zero Knowledge Proof,Horizon 4,Techniques,FALSE,"Zero Knowledge Proof or ZKP, is a method by which one party (the prover) can prove to another party (the verifier) that they know a value x, without conveying any information apart from the fact that they know the value x. The essence of zero-knowledge proofs is that it is trivial to prove that one possesses knowledge of certain information by simply revealing it; the challenge is to prove such possession without revealing the information itself or any additional information."
